,REACTOME_SIGNALING_BY_ERBB4,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,PID_HIF1A_PATHWAY,PID_LYMPH_ANGIOGENESIS_PATHWAY,KEGG_PHENYLALANINE_METABOLISM,REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE,REACTOME_DEADENYLATION_OF_MRNA,REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR,PID_NFAT_3PATHWAY,PID_NFAT_TFPATHWAY
303,,24099334,,33813800,18946890,35089443,,34047442,,
304,,24011745,,33813612,18945922,35089124,,34043214,,
305,,23996278,,33813015,18849086,35088828,,34029680,,
306,,23979843,,33809898,18779868,35088682,,34028657,,
307,,23957479,,33807864,18693094,35088561,,34023779,,
308,,23949639,,33806202,18583949,35088558,,34023227,,
309,,23907022,,33792788,18556250,35087975,,34022855,,
310,,23900565,,33789742,18551122,35087972,,34022251,,
311,,23863811,,33789617,18505128,35087408,,34020611,,
312,,23817295,,33787534,18498242,35086778,,34019358,,
313,,23790456,,33779350,18492837,35086537,,34018976,,
314,,23781506,,33775914,18478525,35086144,,34015925,,
315,,23593533,,33775825,18390927,35085153,,34015478,,
316,,23445773,,33772699,18388893,35084716,,34013739,,
317,,23353834,,33772356,18257780,35084435,,34009708,,
318,,23351438,,33770016,18254725,35083696,,34007217,,
319,,23344061,,33766618,18200800,35083665,,34001084,,
320,,23239315,,33763059,19337530,35083418,,33997627,,
321,,23159613,,33762845,18073294,35083338,,33996155,,
322,,23137174,,33760698,18057760,35083086,,33993906,,
323,,23092809,,33759957,18041443,35082201,,33993770,,
324,,23056035,,33759548,18025765,35082198,,33990175,,
325,,22961115,,33755757,18023765,35081898,,33987258,,
326,,22950056,,33753107,17941876,35080502,,33983444,,
327,,22927832,,33752058,17874223,35079935,,33980605,,
328,,22915032,,33748878,17872451,35079073,,33973091,,
329,,22884472,,33746885,17704018,35078449,,33972623,,
330,,22874275,,33741057,17587398,35078309,,33962476,,
331,,22864903,,33734192,17587393,35078286,,33953784,,
332,,22820449,,33733998,17573070,35078033,,33941808,,
