,PID_HNF3B_PATHWAY,ST_STAT3_PATHWAY,REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,REACTOME_AMYLOIDS,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,REACTOME_ION_CHANNEL_TRANSPORT,REACTOME_GPCR_LIGAND_BINDING,REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION,REACTOME_PLATELET_CALCIUM_HOMEOSTASIS
209,,28389414,35128745,33347933,34639299,34166655,33728047,,29849562,34912298
210,,28387853,35128336,33341414,34637789,34161215,33713645,,29763613,34910610
211,,28363692,35127769,33336850,34632496,34156072,33706189,,29757463,34909902
212,,28350842,35127369,33325386,34631895,34145611,33691685,,29751149,34909663
213,,28319060,35126811,33321116,34631276,34137064,33686743,,29693021,34909589
214,,28316372,35126760,33310207,34625947,34128007,33678100,,29673211,34909309
215,,28290604,35126394,33307136,34624477,34127487,33669133,,29670283,34907913
216,,28288167,35125882,33294004,34623822,34121441,33666833,,29627388,34907783
217,,28284938,35125197,33279292,34620620,34119624,33662598,,29619846,34907592
218,,28253502,35124687,33269918,34616050,34116361,33659978,,29606630,34907199
219,,28240316,35124671,33256577,34610553,34113141,33647332,,29578944,34904501
220,,28189755,35124169,33255272,34610358,34111245,33647254,,29551688,34903064
221,,28176375,35124085,33235246,34609978,34101535,33644914,,29551575,34901269
222,,28123946,35123853,33233425,34609622,34093971,33635166,,29527628,34901196
223,,28081947,35121287,33227292,34608929,34093430,33627830,,29490093,34901001
224,,28073828,35120743,33226368,34608922,34090243,33623633,,29486015,34900829
225,,28064096,35120317,33226242,34607170,34087285,33622736,,29477037,34900790
226,,28012283,35120311,33221742,34606561,34086738,33617269,,29476444,34900765
227,,27995146,35119630,33219514,34601394,34078729,33609729,,29441984,34899638
228,,27923278,35119089,33207866,34600076,34077948,33607356,,29419534,34899278
229,,27693215,35119024,33206461,34586111,34072474,33603663,,29395042,34895951
230,,27706259,35119008,33203441,34584998,34072110,33601140,,29391158,34895869
231,,27671827,35118593,33202960,34583808,34072007,33595665,,29369095,34894745
232,,27633396,35118457,33202416,34583124,34071003,33594527,,29362940,34892197
233,,27629486,35118453,33192467,34581574,34069768,33592752,,29320364,34890767
234,,27629361,35118452,33189949,34581092,34065973,33590932,,29245105,34889064
235,,27580405,35118448,33187206,34580767,34062418,33586497,,20301505,34888323
236,,27560926,35118145,33185594,34579110,34050416,33580640,,29216032,34887872
237,,27519769,35116182,33168021,34576303,34048868,33569908,,29212780,34887185
238,,27496100,35115945,33164858,34572086,34044276,33567306,,29189554,34885867
239,,27481368,35115770,33164543,34571945,34042416,33557007,,29176000,34884494
240,,27479085,35115614,33164004,34569605,34039237,33544126,,29170185,34882716
241,,27384491,35115561,33161213,34564429,34029582,33539626,,29124482,34881309
242,,27349479,35114763,33158138,34563954,34024257,33538667,,29049533,34881193
243,,27203422,35114418,33154323,34563556,34010747,33535747,,29039325,34879186
244,,27196572,35114298,33153424,34563440,34006163,33534533,,29023012,34876341
245,,27167055,35113957,33152453,34562607,34004260,33534060,,29018828,34876126
246,,27051585,35113805,33147803,34562484,33995040,33534040,,28993191,34875612
247,,26966278,35113467,33140268,34562065,33987409,33521051,,28988945,34871520
248,,26931472,35113203,33127549,34559946,33984104,33520105,,28967801,34871234
249,,30695496,35112597,33124419,34555055,33978069,33516852,,28954970,34867816
250,,26904147,35112368,33121529,34553271,33963627,33508125,,28915340,34866923
251,,26883847,35112095,33100967,34552271,33962551,33506262,,28835522,34865644
252,,26868449,35111221,33098366,34551059,33947005,33499062,,28828347,34859477
253,,26859514,35111074,33097922,34546489,33944639,33472652,,28827482,34858338
254,,26846682,35111058,33044093,34543925,33942517,33471970,,28768320,34857213
255,,26829555,35110952,33036905,34543425,33922399,33462371,,28767521,34853572
256,,26822087,35110859,33026133,34543283,33920825,33459923,,28735693,34853274
257,,26783539,35110697,33016922,34542667,33920728,33455296,,28734674,34853204
258,,26743134,35109996,33013281,34541956,33919016,33444718,,28731977,34853102
259,,26718505,35108508,33007295,34537587,33918273,33435616,,28728577,34852815
260,,26691922,35108433,33006228,34537243,33914219,33435602,,28727270,34852745
261,,26666444,35108360,33003086,34533234,33910093,33426802,,28709906,34852221
262,,26454169,35107846,32996171,34531826,33907960,33422769,,28703650,34852140
263,,26435324,35107740,32989109,34530691,33901463,33422063,,28695014,34847854
264,,26358493,35106636,32987038,34526989,33899122,33412210,,28676198,34847832
265,,26334030,35105943,32986168,34523296,33897618,33407019,,28657697,34847642
266,,26260044,35105704,32984066,34522964,33892285,33401711,,20301485,34846621
267,,26228595,35105428,32978875,34520261,33892063,33397553,,28597471,34845360
268,,26210631,35104494,32969779,34518156,33887264,33396845,,28557178,34844584
269,,26168231,35103753,32959649,34515873,33883592,33396676,,28541026,34842001
270,,26150485,35103245,32943189,34515148,33882908,33394226,,28501550,34839464
271,,26125647,35103243,32941692,34515131,33880698,33388674,,28476321,34836915
272,,26036357,35103172,32940168,34512884,33879046,33388592,,28473361,34836743
273,,26033204,35101868,32929282,34511822,33875384,33380297,,28371941,34834027
274,,25950476,35101708,32920546,34511531,33868178,33379850,,28361261,34833964
275,,25911189,35101568,32894306,34511138,33867398,33370687,,28341643,34831726
276,,25887267,35101476,32887527,34510514,33866314,33357895,,28340545,34831343
